Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-01-02,77.83914947509766,78.31541530686758,77.0949893173243,77.96814208057107,18177500
2015-01-05,76.58897399902344,78.63293169384217,76.26154167801188,77.37282369023775,26452200
2015-01-06,75.55706787109375,76.98585032106149,74.77321821125572,76.62866038606137,27399300
2015-01-07,75.55706787109375,76.7576454300895,75.2296355631888,76.16231877843718,22045300
2015-01-08,77.5712661743164,77.62087988654834,75.48761895039947,76.14247604592094,23961000
2015-01-09,77.13470458984375,78.00785764539583,76.59890818847983,77.59112206434092,21157000
2015-01-12,76.12264251708984,77.39267494603138,75.61661136899924,77.23391710741849,19190200
2015-01-13,75.85472869873047,77.47204175430923,75.25940203697898,76.62866168599552,25179600
2015-01-14,75.68605041503906,76.59888508875221,75.43799702087861,75.82495971016981,25918600
2015-01-15,73.47342681884766,75.97380198842959,72.96739571703131,75.8051274778207,34134000
2015-01-16,74.59461975097656,74.73352905123996,73.26504957275517,73.4634968374094,21791500
2015-01-20,75.64636993408203,75.71582458988367,74.23742830496896,75.13042214383982,22821600
2015-01-21,76.14247131347656,76.6981160899788,75.25940179455868,75.56699316529772,25096700
2015-01-22,77.04539489746094,77.14461475292012,76.0829464025284,76.56912899327122,19519500
2015-01-23,77.22399139404297,77.58118891918227,76.44014168998672,77.04539263147332,16746500
2015-01-26,76.89656829833984,77.85901688049817,76.68820431199481,77.37283424569308,19260800
2015-01-27,75.18994903564453,76.28138253446701,75.04111547444387,76.11270803110132,20110000
2015-01-28,75.64636993408203,77.03547062010452,75.40824076704638,76.30123460591724,53306400
2015-01-29,77.3926773071289,77.41251825256563,73.63218605265287,76.25162990975645,61293500
2015-01-30,75.31893920898438,77.55141984453472,75.16018139686156,77.3926620324119,42649500
2015-02-02,74.40608978271484,75.54713684528778,73.17574713689133,75.51737165087093,41955300
2015-02-03,74.81290435791016,74.99150310251216,73.28489455853504,74.6045404175393,26957700
2015-02-04,75.04109954833984,75.7554944344942,74.42593206191964,74.50530338372408,20277400
2015-02-05,75.02127838134766,75.38840017514636,74.62439138777954,75.12049823724223,15062600
2015-02-06,73.89015197753906,75.11057053198806,73.67186376259973,75.09072958971603,21211000
2015-02-09,73.86038208007812,74.24734477467375,72.87808517534562,73.47341938548252,16194300
2015-02-10,74.60453033447266,74.75335629320267,73.91990064436368,74.26717383137994,15811300
2015-02-11,75.91426086425781,76.15238999676815,74.445781478802,74.50531186943243,20877400
2015-02-12,75.63644409179688,76.27146017368355,75.29908754017586,76.26153591834472,17235000
2015-02-13,75.15026092529297,75.88450448835005,74.9121317651069,75.86465597584065,18621900
2015-02-17,75.0113525390625,76.31115760477064,74.49540475732366,74.7136929776711,25254400
2015-02-18,76.11270141601562,76.30122441515088,74.86251020857155,75.34870030423735,22426400
2015-02-19,78.8016128540039,79.21834080504485,76.35084372242173,76.39053318013849,45851200
2015-02-20,79.27787017822266,79.71443902577717,78.583316098495,78.93059692335343,36931700
2015-02-23,78.22611236572266,79.56560670937307,77.76969504277062,79.33739426290276,24139100
2015-02-24,77.83914947509766,78.86113578389681,77.49187624880113,77.88876318027798,18897100
2015-02-25,78.94051361083984,79.57552972546785,77.88876959036018,77.88876959036018,25593800
2015-02-26,79.78390502929688,80.73642924637846,79.09927517296121,79.25802542414671,31111900
2015-02-27,78.35511016845703,80.5975150516782,78.00783691817676,80.05179453695986,30739200
2015-03-02,79.12904357910156,79.23818769308572,77.90861738181957,78.38488329465861,21662500
2015-03-03,78.9802017211914,79.07942156804182,77.90860920723317,78.99012597687317,18635000
2015-03-04,80.27008819580078,80.51814161570746,78.23604712457012,78.68254782239593,28126700
2015-03-05,80.57766723632812,81.35159264934963,80.41891699339537,80.59751574793796,27825700
2015-03-06,79.38700866699219,80.69673025698808,79.208409924266,80.27007812547487,24488600
2015-03-09,78.82146453857422,79.28780622301794,78.01776623496237,79.05959372446387,18925100
2015-03-10,76.94618225097656,78.64286691925464,76.94618225097656,77.88878232113424,23067100
2015-03-11,76.96601867675781,77.81932308953014,76.65843484308058,77.19423116528576,20215700
2015-03-12,78.31542205810547,78.43449041880947,77.30336748708378,77.49188292904523,16093300
2015-03-13,77.44226837158203,78.76190660182415,77.07514664347619,77.98798126634712,18557300
2015-03-16,77.46212005615234,77.51173376709866,76.7576492666536,77.35297594806202,19305400
2015-03-17,78.7420654296875,79.15879329063874,77.73000340167633,77.7498519112388,22170000
2015-03-18,80.28001403808594,80.60743880563876,78.55355675103759,78.63293566377332,36912400
2015-03-19,82.10568237304688,82.35373579411349,80.36930842558063,80.48837679288887,42099500
2015-03-20,83.14750671386719,83.94127309011577,82.42318742017585,82.74069548467315,44466300
2015-03-23,83.77261352539062,84.298485641303,82.65141462863386,83.26658235517706,27357300
2015-03-24,84.64574432373047,85.39982881968498,83.86189462938121,84.05041764586719,32576500
2015-03-25,82.27435302734375,84.85410697155581,82.27435302734375,84.83426602959565,37436100
2015-03-26,82.3636474609375,83.11772429532375,81.5004189623774,82.07590462808413,32794800
2015-03-27,82.65140533447266,83.2963381920367,82.2346698217519,82.73077667833338,18372600
2015-03-30,82.55216979980469,83.68329271612494,81.76832770497731,83.15742071099226,24527700
2015-03-31,81.57980346679688,82.84983566458874,81.56987921119222,82.25450901812243,19734300
2015-04-01,81.03409576416016,82.07592323760751,80.24032930009616,81.8576349997431,22058200
2015-04-02,80.92494201660156,81.91715565611847,80.8058812246527,81.6095718502648,19664100
2015-04-06,81.798095703125,82.16520990871837,80.17086592322688,80.17086592322688,19062900
2015-04-07,81.67901611328125,82.77044946392994,81.57979627594743,82.00644838947235,17467000
2015-04-08,81.63932800292969,82.45294279438859,81.20275162751665,81.9866012242862,18966700
2015-04-09,81.53019714355469,82.15529661345485,81.07377975425645,81.85762947826528,15927300
2015-04-10,81.40121459960938,81.96677611792131,81.27222954104347,81.569889115424,12529700
2015-04-13,82.3636474609375,83.28640634905744,81.28213077400666,81.29205502892947,26883100
2015-04-14,82.86968231201172,83.0383643889499,81.79809730258127,82.5224090418264,19634200
2015-04-15,82.06599426269531,83.00860182019564,81.629417812064,82.89945770753782,22390900
2015-04-16,81.66910552978516,82.42319004573334,81.51035527747426,81.82786335208567,13769700
2015-04-17,80.15101623535156,81.47066218688421,79.7442125813389,80.84557032194262,24215000
2015-04-20,82.44303131103516,82.50256927962556,80.60743751094516,80.90510464392825,28796800
2015-04-21,82.96891021728516,83.83213126962309,82.88953130649857,83.34594868853705,27171900
2015-04-22,83.97103881835938,84.08018292590573,82.99867367656935,83.66345500799572,45548000
2015-04-23,81.7683334350586,84.92356568696394,81.7683334350586,83.44516941553834,73728100
2015-04-24,80.89517211914062,82.29419690318025,80.84556598204016,82.1255148410698,29660400
2015-04-27,81.272216796875,82.28427130305403,80.99439063969942,81.23252734584992,25446000
2015-04-28,80.05178833007812,81.26229005433132,79.60529526719259,81.19283540966049,23775300
2015-04-29,79.84342193603516,80.75625654358058,78.90081456455796,79.38700463226245,26430300
2015-04-30,78.15666198730469,80.32961219498286,77.71016889503693,79.38701230242248,28999000
2015-05-01,78.37495422363281,79.1389629745915,77.50180893538372,78.6230076365434,24136400
2015-05-04,78.19636535644531,79.06951832514959,78.01776657375493,78.71232075976882,14692000
2015-05-05,76.95609283447266,78.18644328381478,76.61874380706551,77.93838985660723,22311300
2015-05-06,77.49188995361328,78.19636078582913,76.45007009047289,77.36290489531683,28663000
2015-05-07,77.8193130493164,78.32534410555395,76.95608449102754,77.39266089797673,19749400
2015-05-08,77.89869689941406,78.61309194886826,77.42243100978143,78.48409932772321,19943600
2015-05-11,77.402587890625,78.4146424688984,77.32320898292022,77.86892951090395,18874100
2015-05-12,76.85686492919922,77.28351708211713,76.1920836306959,77.26367614081379,21285300
2015-05-13,77.82923126220703,77.91852684579237,77.04538166967468,77.11483631357054,21512300
