Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2015-01-02,61.21474838256836,61.614349135784344,60.630365146951846,60.83594217894731,8389600
2015-01-05,59.86351776123047,60.863665211340425,59.794219036333324,60.861353139143674,12751200
2015-01-06,59.47777557373047,60.23539511267078,58.8679841515468,60.0067255321646,11070000
2015-01-07,60.2746696472168,60.318556728466824,59.466233801665325,59.69490339944094,9346800
2015-01-08,61.083091735839844,61.23784547255164,60.66270349907122,60.79436471316902,10443200
2015-01-09,60.177642822265625,61.087710993872435,60.002094530585175,60.88906312976037,10523600
2015-01-12,60.059837341308594,60.51718347928808,59.85657944009501,60.29544310132811,6425600
2015-01-13,60.23537826538086,61.3972153716145,59.84963591167765,60.52179317895776,10284000
2015-01-14,59.02967071533203,59.731856914631045,58.697056570874636,59.279134848175396,12225200
2015-01-15,58.468379974365234,59.470839382875965,58.29052313591981,59.29529109186494,10569200
2015-01-16,58.888771057128906,58.92342041938469,58.09188506824979,58.18427631859799,11137200
2015-01-20,59.32530975341797,59.98360868388425,58.729376838085166,59.182102297814495,14933200
2015-01-21,59.42695617675781,59.969764441649545,58.78482749822639,59.16825786727757,9784000
2015-01-22,59.50086975097656,59.82424262563948,58.523814910995036,59.00425712799423,11566000
2015-01-23,59.66024398803711,60.205357222093646,59.63483234461946,59.713365248729325,6166800
2015-01-26,59.25370788574219,59.429256152443735,58.6231291224838,59.3484111849365,8552400
2015-01-27,57.97409439086914,58.620840289311985,57.417427684101504,58.620840289311985,11027600
2015-01-28,56.90463638305664,58.440662863375984,56.89077804871994,58.32979266418228,11430800
2015-01-29,57.28343200683594,57.46821797627396,56.62975371059222,57.17487038195982,15668400
2015-01-30,58.8795280456543,60.89137606569696,58.8795280456543,60.14761493644469,22151600
2015-02-02,58.97884750366211,59.20289996271561,57.6761112747376,59.20289996271561,13665200
2015-02-03,60.00672149658203,60.159170223000515,58.84026352392554,59.295294106629086,15075600
2015-02-04,61.18473815917969,61.609743587553815,59.84735231158316,59.96053107459006,22170800
2015-02-05,62.78083038330078,62.78083038330078,61.4180396080494,61.72986634832797,16565600
2015-02-06,61.76909255981445,62.93092953750237,61.45033687564994,62.76923962411525,11242000
2015-02-09,61.31637954711914,61.981607747889164,61.27480454682094,61.76679653068209,7834400
2015-02-10,61.1061897277832,61.873050460394936,60.89369056751743,61.61435215276693,9396800
2015-02-11,61.55047607421875,61.622209966522284,61.147839767506966,61.31676538650606,8795600
2015-02-12,62.68893814086914,62.68893814086914,61.79804156561279,61.9276257516346,11641600
2015-02-13,62.392791748046875,63.114763346445976,62.196099047528364,63.114763346445976,8476000
2015-02-17,62.67970275878906,62.93887122448138,62.448301334162196,62.8208612999532,6810400
2015-02-18,62.274776458740234,62.70981244990658,62.050316699970956,62.679729122162136,6429200
2015-02-19,62.27012252807617,62.49458218432134,62.01557955782741,62.49458218432134,5654800
2015-02-20,63.17259216308594,63.17259216308594,61.79806706536179,62.25624445187365,9034800
2015-02-23,63.17491912841797,63.24665302092609,62.536248795829465,63.16334481754764,6654800
2015-02-24,63.04994201660156,63.360019056378235,62.74912301046599,63.360019056378235,9045200
2015-02-25,63.17491912841797,63.45722921118987,62.769966546021294,62.769966546021294,6842800
2015-02-26,63.346168518066406,63.519719664691245,62.945841330931984,63.21890050193388,13459600
2015-02-27,62.78153991699219,63.44797736175453,62.78153991699219,63.281368000563944,7965200
2015-03-02,64.39669036865234,64.39669036865234,63.5057936661015,64.03107224300044,11653600
2015-03-03,63.70478057861328,64.47997641306412,63.288261027288456,64.47997641306412,8807200
2015-03-04,63.346168518066406,63.670129246069926,62.99906622481673,63.670129246069926,8021200
2015-03-05,63.434085845947266,63.66780358948756,63.34615215781082,63.63540399414786,6756000
2015-03-06,62.32567596435547,63.51508300299175,62.30485067784172,63.26516544120073,11590800
2015-03-09,62.80699157714844,62.9897936582585,62.26550591017179,62.598724599782365,8902000
2015-03-10,61.367671966552734,62.44599659001954,61.367671966552734,62.395095046541904,11125600
2015-03-11,61.2635383605957,61.87212534842096,60.87015304214834,61.46717278135375,12105200
2015-03-12,62.3812141418457,62.47840588041315,61.62221749362285,61.64535905631162,9530800
2015-03-13,61.328330993652344,62.209970024836224,61.20568849766072,62.209970024836224,12578800
2015-03-16,62.25161361694336,62.48995682062052,61.69856784064113,61.75873447556541,9849600
2015-03-17,61.2056884765625,62.098894756153534,61.12238733749308,62.02947714026236,14290800
2015-03-18,61.93922424316406,62.0109581219452,59.935287000045,61.11080316422965,50658000
2015-03-19,61.8397216796875,62.19145640575807,60.858581784463034,61.85823775043431,15407500
2015-03-20,62.39509963989258,62.663519147386644,61.81196337967605,62.24699930021445,15372000
2015-03-23,62.08964157104492,63.135573630165794,62.08038353531829,62.96896429614713,8128000
2015-03-24,62.10814666748047,62.65425775194904,61.867487186436094,62.10814666748047,6534800
2015-03-25,60.84009552001953,62.413623154776396,60.84009552001953,62.108171429570746,13054300
2015-03-26,60.710487365722656,61.36767376667555,60.18289228715576,60.39578475056217,9487200
2015-03-27,60.6641960144043,60.91410643627509,60.30321037069605,60.645679946525995,6521100
2015-03-30,60.77529525756836,61.386191564603074,60.627194903248686,61.10850693116048,11237100
2015-03-31,60.54386901855469,61.284349302231284,60.52535295092163,60.59940309783249,7400500
2015-04-01,60.33099365234375,60.645696272887776,59.65529822909821,60.580904141492674,7633000
2015-04-02,60.43281555175781,60.738267221358385,59.98852157217397,60.15513093179126,5083000
2015-04-06,60.3494873046875,60.756756062272835,59.61826503438422,59.91445856849786,8351200
2015-04-07,60.904876708984375,61.265862478611666,60.45132469129818,60.516116827851455,6660800
2015-04-08,61.552799224853516,61.86750187633272,60.904877847211985,60.98817899784588,6604200
2015-04-09,61.49727249145508,61.84900027262213,60.86786005128325,61.617598744056224,5408500
2015-04-10,61.404693603515625,61.7286613263396,61.02519884684901,61.7286613263396,4628500
2015-04-13,60.72899627685547,61.83046942365204,60.636437110476905,61.293616372119956,5059800
2015-04-14,60.65496826171875,61.034470162767,60.053322867903944,60.645710223157636,5621800
2015-04-15,60.793785095214844,61.00667752194489,60.44205745736885,60.719734941412106,5347100
2015-04-16,60.766029357910156,61.09924805020318,60.48834476039508,60.65495410654159,4121300
2015-04-17,59.72008514404297,60.62718196615372,59.562733847515325,60.25693822117358,11212900
2015-04-20,59.905208587646484,60.358753452958155,59.77562434041458,60.1643770821103,5948900
