strategy,run_id,timestamp,n_steps,avg_turnover,std_turnover,max_turnover,p95_turnover,avg_tc_penalty,total_tc_pct,avg_tc_drag,total_tc_drag
PPO Pilot (equities),20260322_215519,2026-03-22T21:55:24,388,0.401646,0.168255,1.083176,0.742297,0.000402,15.5839,0.000402,0.155839
PPO Full (30k steps),20260322_215519,2026-03-22T21:55:28,616,0.883216,0.231797,1.682004,1.30174,0.000883,54.4061,0.000883,0.544062
PPO Checkpoint 10k,20260322_215519,2026-03-22T21:55:32,616,0.790926,0.203194,1.481077,1.136529,0.000791,48.721,0.000791,0.487209
PPO Checkpoint 20k,20260322_215519,2026-03-22T21:55:37,616,0.807815,0.23518,1.658313,1.241248,0.000808,49.7614,0.000808,0.497614
PPO Checkpoint 30k,20260322_215519,2026-03-22T21:55:41,616,0.875792,0.252793,1.606338,1.337506,0.000876,53.9488,0.000876,0.539488
PPO Pilot (equities),20260322_215651,2026-03-22T21:56:56,388,0.401646,0.168255,1.083176,0.742297,0.000402,15.5839,0.000402,0.155839
PPO Full (30k steps),20260322_215651,2026-03-22T21:57:00,616,0.883216,0.231797,1.682004,1.30174,0.000883,54.4061,0.000883,0.544062
PPO Checkpoint 10k,20260322_215651,2026-03-22T21:57:04,616,0.790926,0.203194,1.481077,1.136529,0.000791,48.721,0.000791,0.487209
PPO Checkpoint 20k,20260322_215651,2026-03-22T21:57:08,616,0.807815,0.23518,1.658313,1.241248,0.000808,49.7614,0.000808,0.497614
PPO Checkpoint 30k,20260322_215651,2026-03-22T21:57:12,616,0.875792,0.252793,1.606338,1.337506,0.000876,53.9488,0.000876,0.539488
Equal Weight (1/N),20260322_215651,2026-03-22T21:57:16,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
MVO (Max Sharpe),20260322_215651,2026-03-22T21:57:24,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
PPO Pilot (equities),20260323_213949,2026-03-23T21:39:55,388,0.387957,0.198023,1.334083,0.777062,0.000388,15.0527,0.000388,0.150528
PPO Full (30k steps),20260323_213949,2026-03-23T21:40:02,616,0.844561,0.259125,1.612932,1.332213,0.000845,52.0249,0.000845,0.520249
PPO Checkpoint 10k,20260323_213949,2026-03-23T21:40:09,616,0.727487,0.227338,1.439727,1.151871,0.000727,44.8132,0.000727,0.448132
PPO Checkpoint 20k,20260323_213949,2026-03-23T21:40:16,616,0.858982,0.276417,1.679052,1.374,0.000859,52.9133,0.000859,0.529133
PPO Checkpoint 30k,20260323_213949,2026-03-23T21:40:23,616,0.811752,0.245997,1.613588,1.277231,0.000812,50.0039,0.000812,0.500039
Equal Weight (1/N),20260323_213949,2026-03-23T21:40:30,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
MVO (Max Sharpe),20260323_213949,2026-03-23T21:40:43,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
PPO Pilot (equities),20260323_214151,2026-03-23T21:42:00,388,0.387957,0.198023,1.334083,0.777062,0.000388,15.0527,0.000388,0.150528
PPO Full (30k steps),20260323_214151,2026-03-23T21:42:07,616,0.844561,0.259125,1.612932,1.332213,0.000845,52.0249,0.000845,0.520249
PPO Checkpoint 10k,20260323_214151,2026-03-23T21:42:14,616,0.727487,0.227338,1.439727,1.151871,0.000727,44.8132,0.000727,0.448132
PPO Checkpoint 20k,20260323_214151,2026-03-23T21:42:21,616,0.858982,0.276417,1.679052,1.374,0.000859,52.9133,0.000859,0.529133
PPO Checkpoint 30k,20260323_214151,2026-03-23T21:42:28,616,0.811752,0.245997,1.613588,1.277231,0.000812,50.0039,0.000812,0.500039
Equal Weight (1/N),20260323_214151,2026-03-23T21:42:34,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
MVO (Max Sharpe),20260323_214151,2026-03-23T21:42:47,616,0.008025,0.005571,0.032612,0.017029,8e-06,0.4944,8e-06,0.004944
